instrument_id,name,acronym,owner,owner_normalised,owner_category,year_established,year_established_detail,year_source_url,status,geographic_scope,instrument_type,bindingness,adoption_driver,trust_stack_layer,interoperability_posture,problem_domain,harm_family,harm_family_confidence,sector_family,sector_family_confidence,sector_detail,cluster,object_attributes,public_harm_addressed,wito_relevance,references_builds_on,adoption_penetration,adoption_figure_found,effectiveness_verified,effectiveness_evidence_found,compliance_cost,compliance_cost_found,source_url,source_note
351,gov.br unified digital identity (Conta gov.br / Login Unico),gov.br,"Ministry of Management and Innovation in Public Services / Serpro, Brazil",Ministry of Management and Innovation in Public Services / Serpro,public,2016,,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8936.htm,in force,national,binding-regulation,de-facto-required-for-market-access,hybrid,data-credential-model,standalone-silo,Identity and personal security,"Fraud, forgery & impersonation",high,Digital identity & civil registration,high,digital government / identity authentication,Adjacent: Identity & PKI,"identity, authenticity-anti-counterfeit",impersonation; unauthorized access to public services,adjacent context,(no explicit dependency identified),155 million gov.br accounts by December 2023 (up 9.6% from 141.7 million in Dec 2022); 116.6 million unique accesses and 50+ million electronic signatures (+194% YoY) in 2023; over 100 million accounts reached verified Silver/Gold security level by May 2025 (Brazil's Ministério da Gestão e da Inovação em Serviços Públicos). [https://www.gov.br/gestao/pt-br/assuntos/noticias/2023/dezembro/gov-br-alcanca-155-milhoes-de-brasileiros-em-2023],1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.gov.br/g20/en/news/the-brazilian-gov-br-portal-is-a-global-highlight-of-the-digital-government-and-inclusion-workshop,"Official gov.br (G20) page confirms unified digital-identity SSO with 156M+ registered users and 4,200+ services, operated under Ministry of Management/Serpro; launch year not stated in source so left blank. [Batch year-fill: 2016 (adopted/established (Decreto nº 8.936, de 19 de dezembro de 2016, instituting the Plataforma de Cidadania Digital, which created the 'mecanismo de acesso digital único' — the unique digital access/authentication mechanism that became Conta gov.br / Login Único; the broader gov.br portal itself was later unified under Decreto 9.756/2019)), high confidence. https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8936.htm]"
352,OpenID Connect Core 1.0,OIDC,OpenID Foundation,OpenID Foundation,NGO-multistakeholder,2023,2023,,in force,global-multilateral,voluntary-consensus-standard,voluntary,market-driven,traceability-exchange-protocol,mutual-recognition,Identity and personal security,"Fraud, forgery & impersonation",high,Digital identity & civil registration,high,identity standards / authentication,Adjacent: Identity & PKI,"identity, authenticity-anti-counterfeit",identity fraud; insecure/non-interoperable authentication,adjacent context,OAuth 2.0 (RFC 6749),"By its first certification-anniversary report (Feb 2017), the OpenID Foundation recorded 155 total certifications covering 51 distinct implementations, including 34 Relying Party certifications (12 implementations) from adopters such as Ping Identity, Symantec, Verizon, Red Hat, Yahoo! Japan, Okta, NTT, NEC, and Auth0. [https://openid.net/specs/openid-connect-core-1_0.html]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://openid.net/specs/openid-connect-core-1_0.html,OpenID Foundation spec confirms OIDC Core is identity layer on OAuth 2.0; version cited is Final incorporating errata set 2 published 15 Dec 2023 (original Final 2014).
353,OpenID Federation 1.0,OpenID Federation,OpenID Foundation,OpenID Foundation,NGO-multistakeholder,2026,2026,,in force,global-multilateral,voluntary-consensus-standard,voluntary,market-driven,traceability-exchange-protocol,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Digital identity & civil registration,high,identity standards / trust frameworks,Adjacent: Identity & PKI,"identity, authenticity-anti-counterfeit",unverified trust between identity parties; federation spoofing,adjacent context,OpenID Connect; OAuth 2.0; JWT,"Not adopted as a mandated component; cited only as an optional alternative trust-framework mechanism ('an OpenID Federation, or a similar trust framework') in the EU's EUDI Wallet Architecture and Reference Framework (ARF) v1.4, Annex 2, 2025-2026. [https://openid.net/specs/openid-federation-wallet-1_0.html ; https://eudi.dev/1.4.0/annexes/annex-2/annex-2-high-level-requirements/]",0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://openid.net/specs/openid-federation-1_0.html,"OpenID Foundation spec confirms Federation 1.0 (Final, 17 Feb 2026) defines Entity Statements and cryptographic Trust Chains for multilateral federations without bilateral agreements."
354,EU Digital Identity Wallet Architecture and Reference Framework,EUDI Wallet ARF,European Commission,European Union,public,2024,2024,,phased-in,regional,govt-referenced-standard,mandatory,mandate-driven,data-credential-model,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,Digital identity & civil registration,high,digital identity wallets / trust services,Adjacent: Legal & Notarial,"identity, authenticity-anti-counterfeit",cross-border identity fraud; fragmented/insecure eID,adjacent context,Regulation (EU) 2024/1183 (eIDAS 2.0); ISO/IEC 18013-5; OpenID4VP; W3C Verifiable Credentials,"Mandated by EU Regulation (EU) 2024/1183 (eIDAS 2.0): all 27 EU member states must offer at least one certified EUDI Wallet, implemented via Commission Implementing Regulations 2024/2977-2025/849; Large-Scale Pilots launched February 2022 under the Digital Europe Programme. [https://eudi.dev/2.4.0/architecture-and-reference-framework-main]",1,Not yet published — rollout/pilots still in progress as of 2026; no outcome evaluation available. [https://eudi.dev/2.4.0/architecture-and-reference-framework-main],0,No published compliance-cost figure identified,0,https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/694487738/EU+Digital+Identity+Wallet+Home,European Commission portal confirms ARF is technical blueprint under Regulation (EU) 2024/1183 (in force May 2024); Member States must provide a wallet by 2026; ARF v2.0 published May 2025.
355,AAMVA Mobile Driver's License (mDL) Implementation Guidelines,AAMVA mDL Guidelines,American Association of Motor Vehicle Administrators (AAMVA),American Association of Motor Vehicle Administrators,hybrid,2024,2024,,in force,regional,voluntary-consensus-standard,voluntary,market-driven,data-credential-model,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Digital identity & civil registration,high,driver licensing / mobile identity,Adjacent: Identity & PKI,"identity, authenticity-anti-counterfeit",ID forgery; privacy over-disclosure; non-interoperable mDLs,adjacent context,ISO/IEC 18013-5,"21 US states plus Puerto Rico issuing mDLs accepted by TSA at airport checkpoints as of mid-January 2026 (New York: 200,000+ Mobile ID enrollments as of March 2025; Georgia: 500,000+ digital ID users as of July 2025). [https://regulaforensics.com/blog/mobile-drivers-license-verification/ ; https://www.aamva.org/topics/mobile-driver-license]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,"https://www.aamva.org/publications-news/aamva-news/now-available-mobile-driver-s-license-(mdl)-implementation-guidelines,-version-1-4","AAMVA official news confirms mDL Implementation Guidelines v1.4 (Dec 2024) built on ISO/IEC 18013-5 for interoperability, trust, and privacy across US/Canadian issuing authorities (v1.0 was 2021)."
356,EA Multilateral Agreement,EA MLA,European co-operation for Accreditation (EA),European co-operation for Accreditation,hybrid,1997,,https://www.enac.es/documents/7020/756079/the_ea_mla_brochure.pdf/aa56e928-840d-4cd9-ac31-659caf6fe317,in force,regional,accreditation-or-mutual-recognition-arrangement,de-facto-required-for-market-access,hybrid,governance-mutual-recognition,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,Cross-sector conformity assessment & accreditation,high,cross-sector,Cross-sector Horizontal,compliance-conformity,fragmented accreditation; trade barriers within EU/EEA,peer framework,ISO/IEC 17011; Regulation (EC) 765/2008; IAF MLA; ILAC MRA,44 EA Member signatories by end of 2024; EA MLA Mark (launched 1 September 2025) covers 43 signatory countries. [https://iaf.news/2025/05/30/ea-publishes-mla-report-and-hosts-key-workshops/ ; https://docnova.ai/european-accreditation-ea-mla-mark-2025/],1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://european-accreditation.org/mutual-recognition/the-ea-mla/,"Confirmed via EA site: MLA recognizes equivalence of members' accreditation across 9 CA activities ('accredited once, accepted everywhere'); Regulation (EC) 765/2008 requires national authorities to recognize EA-peer-evaluated NABs. Founding year not confirmed this session. [Batch year-fill: 1997 (EA and the EA Multilateral Agreement (MLA) were established/signed in 1997), high confidence. https://www.enac.es/documents/7020/756079/the_ea_mla_brochure.pdf/aa56e928-840d-4cd9-ac31-659caf6fe317]"
357,African Accreditation Cooperation Recognition Arrangement,AFRAC,African Accreditation Cooperation (AFRAC),African Accreditation Cooperation,hybrid,2010,,https://capacity4dev.europa.eu/media/28229/download/e989b945-4c0d-4922-ad1a-eead2ef8a118_en,in force,regional,accreditation-or-mutual-recognition-arrangement,voluntary,hybrid,governance-mutual-recognition,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,Cross-sector conformity assessment & accreditation,high,cross-sector,Cross-sector Horizontal,compliance-conformity,unreliable conformity results; barriers to intra-African trade and public health/safety,peer framework,ISO/IEC 17011; ILAC MRA; IAF MLA; Pan-African Quality Infrastructure (PAQI),"8 AFRAC Arrangement members as of 1 October 2025 (AFRAC's own membership register); an earlier tiered structure (2019 General Assembly) listed 11 accreditation bodies (6 MRA signatories, 4 full members, 1 associate). [https://www.intra-afrac.com/Documents/AFRAC%20Arrangement%20Membership%20-%20updated%2001102025.pdf ; https://ilac.org/latest_ilac_news/afrac-now-recognised-under-the-ilac-mra/]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://ilac.org/latest_ilac_news/afrac-now-recognised-under-the-ilac-mra/,"Confirmed via ILAC news: AFRAC is an association of African accreditation bodies and sub-regional cooperations; RCB member of ILAC since 2011; recognised under ILAC MRA following 2016-2018 evaluation for ISO/IEC 17025, 15189, 17020. Founding year not confirmed this session. [Batch year-fill: 2010 (AFRAC (which develops and implements the AFRAC MRA/Recognition Arrangement) was formally launched on 29 September 2010 in Cairo, Egypt, per an official AFRAC orientation presentation; exact date of the MRA document's own signing/adoption was not separately located, but individual arrangement members' scopes are recorded from as early as 2014 onward.), medium confidence. https://capacity4dev.europa.eu/media/28229/download/e989b945-4c0d-4922-ad1a-eead2ef8a118_en]"
358,SADC Cooperation in Accreditation,SADCA,Southern African Development Community Cooperation in Accreditation (SADCA),Southern African Development Community Cooperation in Accreditation,public,2008,,https://www.sadca.org/pages/About.aspx,in force,regional,accreditation-or-mutual-recognition-arrangement,voluntary,hybrid,governance-mutual-recognition,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,Cross-sector conformity assessment & accreditation,high,cross-sector,Cross-sector Horizontal,compliance-conformity,technical barriers to trade in Southern Africa; unreliable conformity results,peer framework,ISO/IEC 17011; SADC Protocol on Trade (TBT Annex); IAF MLA; ILAC MRA,"SADCAS (SADCA's operational accreditation body) services 14 SADC Member States; as of 31 March 2025 had issued 381 accreditation certificates to 325 facilities across 13 SADC states plus Mauritius (plus 4 certificates to non-SADC Burundi/Uganda), with 48 new accreditations granted in FY2024/25. [https://www.sadcas.org/sadcas-press-release-world-accreditation-day-2025]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://iaf.news/2023/04/30/sadca-obtains-its-international-recognition/,"Confirmed via IAF Outlook: SADCA is a TBT cooperation structure under the SADC Protocol on Trade; member bodies MAURITAS, SADCAS, SANAS; obtained IAF MLA recognition 28 Mar 2023 (ISO/IEC 17021-1 QMS); distinct from SADCAS. Founding year not confirmed this session. [Batch year-fill: 2008 (SADCA is a TBT Cooperation Structure established under the TBT Annex to the SADC Protocol on Trade (which per Article 18 created SADCA); the TBT Annex was approved by the SADC Committee of Ministers of Trade on 12 July 2008 in Lusaka, Zambia.), medium confidence. https://www.sadca.org/pages/About.aspx]"
359,IECEE CB Scheme,CB Scheme,"IEC System of Conformity Assessment Schemes for Electrotechnical Equipment and Components (IECEE), IEC",ISO / IEC,NGO-multistakeholder,1985,1985,,in force,global-multilateral,accreditation-or-mutual-recognition-arrangement,de-facto-required-for-market-access,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,electrical and electronic products,Cross-sector Horizontal,"safety, compliance-conformity",unsafe electrical/electronic products; duplicative testing and trade barriers,peer framework,IEC product safety standards; ISO/IEC 17067; ISO/IEC 17025,"134,403 international IECEE CB Scheme certificates issued in 2025 (+7.4% year-on-year); scheme comprises 54 Member Body countries, 94 National Certification Bodies, and 577 testing laboratories. [https://www.nemko.com/blog/the-cb-scheme-statistics-for-2025-now-available]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.iecee.org/about/cb-scheme/,"Confirmed via IECEE: international system for mutual acceptance of test reports and CB Test Certificates for electrical/electronic product safety; originated under CEE, integrated into IEC in 1985; goal 'one product, one test, one mark'."
360,IECEx Scheme (Certification for Equipment for Explosive Atmospheres),IECEx,International Electrotechnical Commission (IEC) - IECEx System,ISO / IEC,NGO-multistakeholder,1996,,https://www.iecex.com/,in force,global-multilateral,accreditation-or-mutual-recognition-arrangement,de-facto-required-for-market-access,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,medium,"hazardous-area equipment (oil and gas, mining, chemicals)",Cross-sector Horizontal,"safety, compliance-conformity",explosions/fires from non-compliant equipment in explosive atmospheres,peer framework,IEC 60079 series; ISO 80079; ISO/IEC 17067,"IECEx certification is accepted by over 30 member countries (current figure, undated, per IECEx's own overview page). [https://www.iecex.com/certified-equipment-scheme/overview/]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.iecex.com/certified-equipment-scheme/overview/,"Confirmed via IECEx: certifies equipment/components for explosive atmospheres via Certificates of Conformity, component and unit-verification certificates; accepted by 30+ member countries; global Online Certificate System (OCS). Founding year (1996) not confirmed this session. [Batch year-fill: 1996 (established/inception of the IECEx System), high confidence. https://www.iecex.com/]"
361,IEC Quality Assessment System for Electronic Components (IECQ),IECQ,International Electrotechnical Commission (IEC) - IECQ System,ISO / IEC,NGO-multistakeholder,1980,,https://www.iecq.org/faqs,in force,global-multilateral,accreditation-or-mutual-recognition-arrangement,voluntary,market-driven,conformity-assessment-certification,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,electronic components and supply chain,Cross-sector Horizontal,"composition, compliance-conformity",substandard/counterfeit electronic components; undeclared hazardous substances,peer framework,IEC standards and IECQ specifications; IEC 63000 (hazardous substances); ISO/IEC 17067,"IECQ-approved certification bodies operate across more than 40 countries (current figure, undated, per IECQ's own 'About us' page). [https://www.iecq.org/who-we-are/about-us]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.iecq.org/who-we-are/about-us,"Confirmed via IECQ: globally harmonized certification/verification for electronic components incl. supply-chain and hazardous-substance process management; certificates listed on official IECQ site; approved CBs in 40+ countries. Founding year not confirmed this session. [Batch year-fill: 1980 (), high confidence. https://www.iecq.org/faqs]"
362,BIS ISI Mark Scheme (Scheme-I),ISI,"Bureau of Indian Standards (BIS), India",Bureau of Indian Standards,public,1955,,https://www.bis.gov.in/the-bureau/origin-of-bis/?lang=en,in force,national,binding-regulation,mandatory,mandate-driven,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,"cross-sector industrial products (cement, electrical goods, LPG cylinders, tyres)",Cross-sector Horizontal,"safety, compliance-conformity","substandard/unsafe products (cement, gas cylinders, electrical goods, feeding bottles)",mandate-owner to recognize,BIS Act 2016; Indian Standards (IS); Government Quality Control Orders (QCOs),"BIS total product-certification licences exceeded 51,500 in 2025, with ~9,700 new licences granted that year; 124 new products were brought under mandatory BIS certification in 2025, bringing the total to 1,437+ mandatorily certified products (98% of simplified-procedure and 85% of normal-procedure licences issued within 30 days). [https://ianslive.in/bis-develops-over-600-new-standards-in-2025-9700-new-licences-granted--20260107092810]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en,"Confirmed via official BIS page: ISI Mark Scheme-I product certification under BIS Act 2016; 100+ products under compulsory certification via Government QCOs cannot be manufactured or sold without the ISI mark. [Batch year-fill: 1955 (formally launched/adopted as the Certification Marks Scheme (ISI Marking Scheme), later designated Scheme-I), high confidence. https://www.bis.gov.in/the-bureau/origin-of-bis/?lang=en]"
363,KEBS Pre-Export Verification of Conformity,PVoC,Kenya Bureau of Standards (KEBS),Kenya Bureau of Standards,public,2005,2005,,in force,national,binding-regulation,mandatory,mandate-driven,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,cross-sector imports,Cross-sector Horizontal,"safety, compliance-conformity",substandard/dumped imports; consumer health and safety,mandate-owner to recognize,Standards Act Cap 496; Legal Notice No. 78 (2005); WTO TBT Agreement Art. 5; Kenya Standards,"Approximately 65,000 PVoC certificates of conformity processed annually, at an average cost of ~USD 1,500 each (~KES 9.5 billion in annual revenue to inspection agents, of which ~KES 2.6 billion is remitted to KEBS). [https://www.ic.ptb.de/media/fileadmin/Publications/PTB_Study_PVoC_Kenya_EN.pdf]",1,"mixed — PTB (Germany's national metrology institute) study: intended to curb dumping of substandard goods and counterfeits, but effectiveness undermined by scope creep (expanded from targeted high-risk products to nearly all imports regardless of regulation), application of inappropriate standards to novel products, and absence of supporting impact data; assessed overall as 'overly prescriptive and costly.' [https://www.ic.ptb.de/media/fileadmin/Publications/PTB_Study_PVoC_Kenya_EN.pdf]",1,No published compliance-cost figure identified,0,https://www.kebs.org/pre-export-verification-of-conformity/,"Confirmed via KEBS: PVoC launched 29 Sept 2005 under Legal Notice No. 78 (July 2005), Standards Act Cap 496; imports require a Certificate of Conformity (CoC) issued by KEBS-appointed inspection agents in the country of origin."
364,Emirates Conformity Assessment Scheme,ECAS,"Ministry of Industry and Advanced Technology (MOIAT), UAE (formerly ESMA)",Ministry of Industry and Advanced Technology,public,2004,,https://www.trade.gov/knowledge-product/united-arab-emirates-trade-standards,in force,national,binding-regulation,mandatory,mandate-driven,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,cross-sector regulated consumer products,Cross-sector Horizontal,"safety, compliance-conformity",unsafe/non-compliant consumer products in the UAE market,mandate-owner to recognize,UAE Federal Law No. 28 of 2001 (ESMA); UAE/GSO standards; ISO/IEC 17065,No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.tuv.com/market-access-services/en/certification-filter/uae-moiat-ecas-certification-(emirates-conformity-assessment-scheme).html,"Confirmed via TUV/MOIAT: ECAS is MOIAT (ex-ESMA) mandatory product certification mandated by UAE Federal Law 28 of 2001; requires an ECAS Certificate of Conformity and ECAS mark across 14 regulated product categories. Scheme launch year not confirmed this session. [Batch year-fill: 2004 (introduced/adopted), medium confidence. https://www.trade.gov/knowledge-product/united-arab-emirates-trade-standards]"
365,Emirates Quality Mark,EQM,"Ministry of Industry and Advanced Technology (MOIAT), UAE (formerly ESMA)",Ministry of Industry and Advanced Technology,public,2013,,https://www.racs-me.com/service/emirates-quality-mark/,in force,national,binding-regulation,mandatory,hybrid,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,medium,"cross-sector (food, dairy, water, and other products)",Cross-sector Horizontal,"safety, compliance-conformity, composition",substandard food and consumer products; misleading quality claims,mandate-owner to recognize,UAE Federal Law No. 28 of 2001; UAE standards; ISO 9001 (QMS element); ISO/IEC 17065,No published figure identified (checked),0,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.tuv.com/market-access-services/en/certification-filter/uae-moiat-emirates-quality-mark-(eqm).html,"Confirmed via TUV/MOIAT: EQM is the MOIAT (ex-ESMA) product certification mark under Federal Law 28/2001 verifying conformity to UAE standards plus factory inspection/QMS; mandatory for certain foods (dairy, water, juices) and offered voluntarily for other categories; higher-tier quality mark distinct from ECAS. Launch year not confirmed this session. [Batch year-fill: 2013 (adopted - ESMA/MOIAT Board of Directors Decision No. (2-2-3) of 2013 establishing the technical requirements of the Emirates Quality Mark (EQM) Scheme), medium confidence. https://www.racs-me.com/service/emirates-quality-mark/]"
366,SNI Mandatory Product Certification (Standar Nasional Indonesia),SNI,"Badan Standardisasi Nasional (BSN) with Komite Akreditasi Nasional (KAN), Indonesia",Badan Standardisasi Nasional with Komite Akreditasi Nasional,public,1997,,https://bphn.go.id/data/documents/97kp013.pdf,in force,national,binding-regulation,mandatory,mandate-driven,conformity-assessment-certification,standalone-silo,Product integrity,Unsafe or non-compliant products,high,Cross-sector conformity assessment & accreditation,high,"cross-sector (electrical goods, cables, AV equipment, and other regulated products)",Cross-sector Horizontal,"safety, compliance-conformity",unsafe/substandard products in the Indonesian market,mandate-owner to recognize,SNI standards; KAN accreditation (ISO/IEC 17065); ministerial designation of certification bodies,"As of 2024, Indonesia's BSN had developed over 5,300 SNI standards in total, of which 130 are designated mandatory, concentrated in products affecting safety, health, and the environment (per the US International Trade Administration's Indonesia Country Commercial Guide, citing BSN). [https://www.trade.gov/country-commercial-guides/indonesia-standards-trade]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.ul.com/resources/sni-certification-guide-indonesian-national-standards,"Confirmed via UL Solutions guide: SNI is Indonesia's sole national standard, mandatory (wajib) for various products (electrical cables, fans, plugs/sockets, AV equipment); certified by KAN-accredited bodies designated by ministries; SNI mark required for market access. Legal basis and start year not confirmed this session. [Batch year-fill: 1997 (Establishment of Badan Standardisasi Nasional (BSN), the body that administers the SNI standard/certification system, via Presidential Decree (Keputusan Presiden) No. 13 of 1997, dated March 26/27 1997, replacing the former Dewan Standardisasi Nasional (DSN)), high confidence. https://bphn.go.id/data/documents/97kp013.pdf]"
367,"EMV Integrated Circuit Card Specifications for Payment Systems (Contact Chip, Books 1-4)",EMV Contact / ICC,"EMVCo, LLC",EMVCo,private,1996,,http://www.ttfn.net/techno/smartcards/cardspec.pdf,in force,global-multilateral,private-industry-scheme,de-facto-required-for-market-access,hybrid,data-credential-model,mutual-recognition,Identity and personal security,"Fraud, forgery & impersonation",high,Payments & cards,high,Card payments,Adjacent: Payments,"authenticity-anti-counterfeit, identity",counterfeit-card and chip payment fraud,adjacent context,ISO/IEC 7816 (contact smart cards),"97% of card-present transactions worldwide were EMV chip transactions as of Q4 2025 (EMVCo, aggregating American Express, Discover, JCB, Mastercard, UnionPay, Visa data). [https://www.emvco.com/about-us/worldwide-emv-deployment-statistics/ ; https://www.kansascityfed.org/research/payments-system-research-briefings/did-card-present-fraud-rates-decline-in-the-united-states-after-the-migration-to-chip-cards/]",1,"mixed — Federal Reserve Bank of Kansas City research briefing on the US chip migration: on dual-message networks (Visa/Mastercard/Discover credit and signature-debit), counterfeit card-present fraud did not decline (9.0 to 9.1 basis points, 2015-2021) and lost-or-stolen fraud nearly tripled (1.6 to 4.5 bps), with overall card-present fraud rising (10.1 to 14.9 bps, 2017-2021); by contrast, single-message PIN-debit networks (STAR/NYCE/Pulse) saw counterfeit fraud fall (3.2 to 1.7 bps) and overall card-present fraud decline (6.5 to 3.7 bps). [https://www.emvco.com/about-us/worldwide-emv-deployment-statistics/ ; https://www.kansascityfed.org/research/payments-system-research-briefings/did-card-present-fraud-rates-decline-in-the-united-states-after-the-migration-to-chip-cards/]",1,No published compliance-cost figure identified,0,https://www.emvco.com/emv-technologies/emv-contact-chip/,"EMVCo page confirms EMVCo owns/maintains the EMV Chip (contact) Specifications; specific version/year not stated on page, left blank. [Batch year-fill: 1996 (first published / adopted - original EMV '96 Integrated Circuit Card Specification for Payment Systems (Version 3.0), dated June 30, 1996, jointly copyrighted by Europay, MasterCard, and Visa; this is the direct predecessor to today's EMV Contact Chip Books 1-4 maintained by EMVCo (formed 1999)), high confidence. http://www.ttfn.net/techno/smartcards/cardspec.pdf]"
368,EMV Contactless Specifications for Payment Systems (Books A-D),EMV Contactless,"EMVCo, LLC",EMVCo,private,2026,2026,,in force,global-multilateral,private-industry-scheme,de-facto-required-for-market-access,hybrid,data-credential-model,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Payments & cards,high,Card payments,Adjacent: Payments,"authenticity-anti-counterfeit, identity",contactless/NFC card fraud and interoperability failure,adjacent context,EMV Contact ICC Specifications; ISO/IEC 14443 (contactless interface),"UK Finance's 2025 Annual Fraud Report states 74% of all UK card transactions were contactless in 2024. EMVCo's own contactless materials project global contactless transaction value reaching ~US$6 trillion by 2024, up from US$2 trillion in 2020. [https://www.ukfinance.org.uk/system/files/2025-05/UK%20Finance%20Annual%20Fraud%20report%202025.pdf]",1,"reduced-harm — UK Finance (2025) found contactless fraud was only 7% of overall card fraud losses despite being 74% of transactions; the contactless fraud-to-turnover ratio was 1.3p per £100 vs 6.0p for card fraud overall, and 2024 (£41.1m) was the first year-on-year decline in contactless fraud losses since 2020. [https://www.ukfinance.org.uk/system/files/2025-05/UK%20Finance%20Annual%20Fraud%20report%202025.pdf]",1,No published compliance-cost figure identified,0,https://www.emvco.com/emv-technologies/emv-contactless-chip/,EMVCo page confirms EMVCo as owner and lists current Contactless Books (A/B/C-2/C-7/C-8) at v2.12 dated 6 Jul 2026.
369,EMV Payment Tokenisation Specification - Technical Framework,EMV Payment Tokenisation,"EMVCo, LLC",EMVCo,private,2026,2026,,in force,global-multilateral,private-industry-scheme,de-facto-required-for-market-access,hybrid,data-credential-model,mutual-recognition,Financial integrity,"Financial crime, AML & mispriced risk",high,Payments & cards,high,Card payments / mobile & e-commerce,Adjacent: Payments,"identity, authenticity-anti-counterfeit",exposure/theft of primary account numbers (PAN) and account fraud,adjacent context,EMV Chip Specifications; defines Token Service Provider (TSP) and Payment Account Reference (PAR),"Mastercard's own newsroom (March 2025) states more than 30% of Mastercard transactions globally are now tokenized, and Mastercard has more tokens enabled for digital payments than physical cards in circulation. [https://www.mastercard.com/global/en/news-and-trends/stories/2025/one-click-checkout.html]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.emvco.com/emv-technologies/payment-tokenisation/,EMVCo page confirms EMVCo ownership and states latest Technical Framework v2.4 published 9 Jul 2026; replaces PAN with constrained payment tokens.
370,EMV 3-D Secure Protocol and Core Functions Specification,EMV 3DS,"EMVCo, LLC",EMVCo,private,2023,2023,,in force,global-multilateral,private-industry-scheme,de-facto-required-for-market-access,hybrid,traceability-exchange-protocol,mutual-recognition,Identity and personal security,"Fraud, forgery & impersonation",high,Payments & cards,high,E-commerce card payments,Adjacent: Payments,"identity, authenticity-anti-counterfeit",card-not-present (CNP) e-commerce fraud,adjacent context,Original 3-D Secure protocol; underpins card-scheme authentication services (Visa/Mastercard etc.),No published figure identified (checked),0,"reduced-harm — Visa's own corporate data show authenticated (3-D Secure) e-commerce transactions carry about 45% less fraud than non-authenticated transactions (11 bps vs 20 bps of fraud), and Visa Secure delivered a 9% lift in authorization approval rates (2023 data) for authenticated transactions. [https://corporate.visa.com/en/solutions/visa-protect/insights/3d-secure.html]",1,No published compliance-cost figure identified,0,https://www.emvco.com/whitepapers/emv-3-d-secure-whitepaper/3-d-secure-documentation/3-d-secure-specification/,"EMVCo page confirms owner EMVCo, LLC and current version v2.3.1 (v2.3.1.1 with bulletins to Aug 2023) for CNP cardholder authentication."
